seed,dynamic_auc,dynamic_recovered,dynamic_recovery_steps,uncoupled_auc,uncoupled_recovered,uncoupled_recovery_steps,matched_fixed_auc,matched_fixed_recovered,matched_fixed_recovery_steps,shuffled_schedule_auc,shuffled_schedule_recovered,shuffled_schedule_recovery_steps,repulsive_auc,repulsive_recovered,repulsive_recovery_steps,dynamic_dt_noise_auc,dynamic_dt_noise_recovered,dynamic_dt_noise_recovery_steps,observed_correlation,surrogate_correlation
68,0.8585557823068525,true,55,-0.09708695637715811,false,,0.9150475656503056,true,55,0.9146235193264745,true,55,-0.6591583021228399,false,,0.8618453063839985,true,59,-0.019909777454505638,0.03476872693554872
69,0.932881405430545,true,77,0.20960660291381655,false,,0.9411200712039495,true,70,0.9410543875759728,true,71,-0.583277584410857,false,,0.9318407998656992,true,77,-0.044486664437655865,0.030772868837753882
70,0.9212721431471034,true,82,0.059181351424592625,false,,0.9331573875140835,true,72,0.9326990729128054,true,71,-0.616251809445766,false,,0.9257985028683398,true,82,0.023289127849946894,0.004403971588775806
71,0.8846322158154254,true,73,0.0014605802451442358,false,,0.9178593662959941,true,67,0.9192267325890159,true,66,-0.627544019762534,false,,0.89088482255435,true,70,0.04715845390830307,-0.011247943995349731
72,0.8228109142474423,true,77,-0.22254845428243383,false,,0.8959001234257238,true,73,0.8982714783237434,true,71,-0.671436975111896,false,,0.8282204376560107,true,78,0.0540646456510224,0.003439933011806577
73,0.8366590965013126,true,86,-0.27020252359259,false,,0.8976305731646369,true,81,0.8957018282112134,true,83,-0.6794084163558648,false,,0.8371597357703229,true,85,0.011566616667780591,-0.0052192757127380975
74,0.8888574879743465,true,109,-0.08933099032052158,false,,0.9162351562752724,true,87,0.9162545337673476,true,88,-0.6438526999898511,false,,0.8968069221268943,true,105,0.024196922310862456,-0.04611007060503737
75,0.8859240896631203,true,107,-0.08300520880398407,false,,0.9141515535325437,true,87,0.9143431138131852,true,87,-0.6296689052360951,false,,0.887849121207935,true,109,0.0031463487496978084,0.014273286909450424
76,0.8901352797561217,true,115,0.014257709132165718,false,,0.9181301771571723,true,93,0.9160798009197678,true,96,-0.6107282417610386,false,,0.8931543618608017,true,114,0.041869250939994905,-0.035348027079378175
77,0.8721980517566783,true,101,-0.14684489467429704,false,,0.9069405484321321,true,85,0.9061312360793866,true,85,-0.6471563339109286,false,,0.8747119489604795,true,103,0.030691825614200127,0.012835261073959799
78,0.8461960676679513,true,118,-0.20095067711685383,false,,0.8952895628821782,true,95,0.8944716085600815,true,97,-0.6534690094636755,false,,0.8396990308729427,true,121,-0.003302497683894876,-0.00218966233521168
